Topic,Difficulty,Question,Answer
Java Basics,Easy,What is Java?,"Java is a high-level, class-based, object-oriented programming language."
Java Basics,Easy,What is the difference between JDK and JRE?,"JDK (Java Development Kit) is a software development kit, whereas JRE (Java Runtime Environment) is a runtime environment."
Java Basics,Easy,What is a class in Java?,A class is a blueprint for creating objects in Java.
Java Basics,Easy,What is the difference between a constructor and a method?,"A constructor is used to create an object of a class, whereas a method is used to perform a specific task."
Java Basics,Easy,What is an object in Java?,An object is an instance of a class.
Java Basics,Medium,What is the difference between a checked and an unchecked exception in Java?,"A checked exception is checked at compile-time, whereas an unchecked exception is checked at runtime."
Java Basics,Medium,What is a package in Java?,A package is a namespace that organizes a set of related classes and interfaces.
Java Basics,Medium,What is the difference between equals() and == in Java?,"equals() is a method used to compare the content of two objects, whereas == is used to compare the memory location of two objects."
Java Basics,Medium,What is the difference between static and non-static methods in Java?,"A static method belongs to a class, whereas a non-static method belongs to an object of a class."
Java Basics,Medium,What is the difference between StringBuffer and StringBuilder in Java?,"StringBuffer is thread-safe, whereas StringBuilder is not thread-safe."
Java Basics,Hard,What is the difference between composition and inheritance in Java?,"Inheritance is an ""is-a"" relationship, whereas composition is a ""has-a"" relationship."
Java Basics,Hard,"What is the difference between final, finally, and finalize in Java?","final is used to declare a constant, finally is used to execute a block of code regardless of an exception, and finalize() is a method called by the garbage collector to clean up memory."
Data Types,Easy,What is a primitive data type in Java?,"A primitive data type is a basic data type, such as int, double, and boolean."
Data Types,Easy,What is a reference data type in Java?,"A reference data type is a data type that refers to an object in memory, such as String and arrays."
Data Types,Easy,What is autoboxing and unboxing in Java?,"Autoboxing is the automatic conversion of a primitive data type to its corresponding wrapper class, whereas unboxing is the automatic conversion of a wrapper class to its corresponding primitive data type."
Data Types,Easy,What is the difference between float and double in Java?,"float is a single-precision floating-point data type, whereas double is a double-precision floating-point data type."
Data Types,Easy,What is the default value of an int in Java?,0
Data Types,Medium,What is a variable in Java?,A variable is a name given to a memory location in Java.
Data Types,Medium,What is the difference between a local variable and an instance variable in Java?,"A local variable is declared inside a method or block, whereas an instance variable is declared inside a class but outside a method."
Data Types,Medium,What is typecasting in Java?,Typecasting is the conversion of one data type to another in Java.
Data Types,Medium,What is the difference between == and equals() for objects in Java?,"== compares the memory location of two objects, whereas equals() compares the content of two objects."
Data Types,Medium,What is the difference between a shallow copy and a deep copy in Java?,"A shallow copy creates a new object with a reference to the original object, whereas a deep copy creates a new object with a new set of fields."
Data Types,Hard,What is a volatile variable in Java?,"A volatile variable is a variable whose value is always read from the main memory and not from the cache memory, and whose value is always written to the main memory and not to the cache memory."
Control Flow,Easy,What is a conditional statement in Java?,A conditional statement is a control structure that allows the program to make a decision based on a condition.
Control Flow,Easy,What is the difference between if and if-else statements in Java?,"if statements execute a block of code if the condition is true, whereas if-else statements execute one block of code if the condition is true and another block of code if the condition is false."
Control Flow,Easy,What is the difference between logical AND and bitwise AND in Java?,"Logical AND (&&) is a conditional operator that returns true if both operands are true, whereas bitwise AND (&) is a bitwise operator that performs a bitwise AND operation on two operands."
Control Flow,Easy,What is the ternary operator in Java?,The ternary operator is a conditional operator that takes three operands and returns one of two values based on the condition.
Control Flow,Easy,What is short-circuit evaluation in Java?,Short-circuit evaluation is a mechanism used by logical operators to avoid evaluating an expression if the result can be determined
Control Flow,Medium,What is a switch statement in Java?,A switch statement is a control structure that allows the program to evaluate a variable or expression and execute different blocks of code based on the value of the variable or expression.
Control Flow,Medium,What is a for loop in Java?,A for loop is a control structure that allows the program to execute a block of code repeatedly based on a condition.
Control Flow,Medium,What is a while loop in Java?,A while loop is a control structure that allows the program to execute a block of code repeatedly as long as a condition is true.
Control Flow,Medium,What is a do-while loop in Java?,"A do-while loop is a control structure that allows the program to execute a block of code repeatedly at least once, and then repeatedly as long as a condition is true."
Control Flow,Medium,What is a break statement in Java?,A break statement is a control statement that terminates the current loop or switch statement and transfers the program control to the statement following the terminated loop or switch statement.
Control Flow,Medium,What is a continue statement in Java?,A continue statement is a control statement that skips the remaining statements in the current loop iteration and continues with the next iteration of the loop.
Control Flow,Hard,What is a label in Java?,"A label is an identifier that is used to mark a statement in Java code, and can be used as the target of a break or continue statement."
Arrays,Easy,What is an array in Java?,"An array is a collection of elements of the same data type, stored in a contiguous memory location."
Arrays,Easy,What is the difference between an array and an ArrayList in Java?,"An array is a fixed-size data structure, whereas an ArrayList is a dynamic-size data structure."
Arrays,Easy,How do you declare an array in Java?,int[] myArray = new int[5];
Arrays,Easy,What is the length of an array in Java?,"The length of an array is the number of elements it contains, which is accessed using the length field."
Arrays,Easy,How do you access an element in an array in Java?,int x = myArray[2];
Arrays,Medium,How do you initialize an array in Java?,"int[] myArray = {1, 2, 3, 4, 5};"
Arrays,Medium,What is a multidimensional array in Java?,"A multidimensional array is an array of arrays, where each element in the array is itself an array."
Arrays,Medium,How do you iterate over an array in Java?,for (int i = 0; i < myArray.length; i++) { ... }
Arrays,Hard,What is the difference between deep and shallow copying of arrays in Java?,"Shallow copying copies only the reference to the array, whereas deep copying creates a new array with a new set of fields."
Strings,Easy,What is a String in Java?,"A String is a sequence of characters in Java, stored as an object."
Strings,Easy,How do you declare a String in Java?,"String myString = ""Hello, world!"";"
Strings,Easy,What is the length of a String in Java?,"The length of a String is the number of characters it contains, which is accessed using the length() method."
Strings,Easy,How do you concatenate two Strings in Java?,String concatenatedString = string1 + string2;
Strings,Easy,How do you compare two Strings in Java?,boolean result = string1.equals(string2);
Strings,Easy,How do you convert a String to an integer in Java?,int myInt = Integer.parseInt(myString);
Strings,Medium,How do you split a String in Java?,String[] parts = myString.split(delimiter);
Strings,Medium,How do you convert a String to all uppercase in Java?,String upperCaseString = myString.toUpperCase();
Strings,Medium,How do you remove leading and trailing whitespace from a String in Java?,String trimmedString = myString.trim();
Strings,Medium,What is a StringBuilder in Java?,"A StringBuilder is a mutable sequence of characters in Java, used to create and manipulate Strings efficiently."
Strings,Hard,"What is the difference between String, StringBuffer, and StringBuilder in Java?","String is immutable, StringBuffer is mutable and synchronized, and StringBuilder is mutable and not synchronized."
Exception Handling,Easy,What is an exception in Java?,An exception is an error that occurs during program execution that disrupts the normal flow of execution.
Exception Handling,Easy,How do you handle exceptions in Java?,Exceptions can be handled using try-catch blocks or by declaring them in the method signature using the throws keyword.
Exception Handling,Easy,What is the difference between checked and unchecked exceptions in Java?,"Checked exceptions are checked at compile time, whereas unchecked exceptions are not checked at compile time."
Exception Handling,Medium,What is the difference between the finally and the finalize block in Java?,"The finally block is used to execute code that needs to be executed regardless of whether an exception is thrown or not, whereas the finalize block is used to perform finalization on an object before it is garbage collected."
Exception Handling,Medium,What is the difference between throw and throws in Java?,"throw is used to throw an exception in a method, whereas throws is used to declare that a method may throw an exception."
Exception Handling,Hard,What is the difference between Error and Exception in Java?,"Errors are serious problems that cannot be handled by the program, whereas Exceptions are problems that can be handled by the program."
OOP,Easy,What is object-oriented programming (OOP) in Java?,"OOP is a programming paradigm that focuses on objects and their interactions, and encapsulates data and behavior into objects."
OOP,Easy,What is a class in Java?,"A class is a blueprint for creating objects in Java, and defines the data and behavior of those objects."
OOP,Easy,What is an object in Java?,"An object is an instance of a class in Java, and has its own set of fields"
OOP,Easy,What is inheritance in Java?,Inheritance is a mechanism in Java that allows one class to inherit the properties and methods of another class.
OOP,Easy,What is polymorphism in Java?,Polymorphism is a concept in Java that allows objects of different classes to be treated as if they are objects of the same class.
OOP,Easy,What is encapsulation in Java?,"Encapsulation is a concept in Java that involves wrapping data and behavior into a single unit, and hiding the implementation details from the outside world."
OOP,Easy,What is abstraction in Java?,"Abstraction is a concept in Java that involves defining a simplified interface for a complex system, and hiding the implementation details from the user."
OOP,Easy,What is a constructor in Java?,A constructor is a special method in Java that is used to initialize objects of a class.
OOP,Medium,What is the difference between method overloading and method overriding in Java?,"Method overloading involves creating multiple methods with the same name in the same class, but with different parameters, whereas method overriding involves creating a method with the same name and parameters as a method in a parent class, but with different behavior."
OOP,Medium,What is the difference between composition and inheritance in Java?,"Composition involves creating objects of one class within another class, whereas inheritance involves creating a subclass that inherits properties and methods from a superclass."
