Topic,Difficulty,Question,Answer
JAVA I/O,Easy,What is the difference between InputStream and OutputStream?,"InputStream is used for reading data from a source, while OutputStream is used for writing data to a destination."
JAVA I/O,Easy,What is the difference between FileReader and FileInputStream?,"FileReader is used for reading character data from a file, while FileInputStream is used for reading raw bytes from a file."
JAVA I/O,Easy,What is the difference between BufferedReader and Scanner?,"BufferedReader is used for efficient reading of text from a character input stream, while Scanner provides additional parsing and tokenization capabilities."
JAVA I/O,Easy,What is the difference between InputStreamReader and BufferedReader?,"InputStreamReader is used to bridge byte streams to character streams, while BufferedReader provides buffering for efficient reading of characters from a character input stream."
JAVA I/O,Easy,What is the difference between File and FileReader?,"File represents a file or directory path in the file system, while FileReader is used for reading character data from a file."
JAVA I/O,Easy,What is the difference between BufferedReader and LineNumberReader?,LineNumberReader is a subclass of BufferedReader that keeps track of line numbers while reading text from a character input stream.
JAVA I/O,Easy,What is the difference between FileOutputStream and DataOutputStream?,"FileOutputStream is used for writing raw bytes to a file, while DataOutputStream provides methods for writing data of various types in a portable way."
JAVA I/O,Easy,What is the difference between ObjectInputStream and ObjectOutputStream?,"ObjectInputStream is used for deserializing Java objects from an input stream, while ObjectOutputStream is used for serializing Java objects into an output stream."
JAVA I/O,Easy,What is the difference between InputStreamReader and FileReader?,"InputStreamReader is used to bridge byte streams to character streams, while FileReader is specifically designed for reading character data from a file."
JAVA I/O,Easy,What is the difference between FileOutputStream and PrintStream?,"FileOutputStream is used for writing raw bytes to a file, while PrintStream provides additional methods for printing formatted representations of data to an output stream."
JAVA I/O,Easy,What is the difference between ByteArrayInputStream and SequenceInputStream?,"ByteArrayInputStream is used for reading byte data from an in-memory byte array, while SequenceInputStream is used to concatenate multiple input streams into a single logical input stream."
JAVA I/O,Easy,What is the difference between FileInputStream and FilterInputStream?,"FileInputStream is used for reading raw bytes from a file, while FilterInputStream is an abstract class that provides a base implementation for filtered input streams."
JAVA I/O,Easy,What is the difference between InputStream and FileInputStream?,"InputStream is an abstract base class for all input streams, while FileInputStream is a subclass of InputStream specifically used for reading raw bytes from a file."
JAVA I/O,Easy,What is the difference between FileInputStream and JarFile?,"FileInputStream is used for reading raw bytes from a file, while JarFile is used for reading the contents of a Java Archive (JAR) file."
JAVA I/O,Easy,What is the difference between FileInputStream and ZipInputStream?,"FileInputStream is used for reading raw bytes from a file, while ZipInputStream is used for reading the contents of a ZIP file."
JAVA I/O,Easy,What is the difference between FileInputStream and ObjectInputStream?,"FileInputStream is used for reading raw bytes from a file, while ObjectInputStream is used for deserializing Java objects from an input stream."
JAVA I/O,Easy,What is the difference between FileInputStream and AudioFileFormat?,"FileInputStream is used for reading raw bytes from a file, while AudioFileFormat is a class that represents the properties of an audio file."
