Topic,Difficulty,Question,Answer
JDBC,Easy,What is JDBC in Java?,JDBC stands for Java Database Connectivity. It is an API in Java that provides a standard way to interact with relational databases.
JDBC,Easy,What are the advantages of using JDBC in Java?,- Database independence<br>- Easy integration<br>- Security<br>- Performance<br>- Portability
JDBC,Easy,What are the steps involved in using JDBC in Java?,- Import JDBC packages<br>- Load and register the JDBC driver<br>- Establish a connection to the database<br>- Create a statement object<br>- Execute SQL queries or updates<br>- Process the results (if applicable)<br>- Close the connection
JDBC,Easy,What is a JDBC driver in Java?,"A JDBC driver is a software component that enables Java applications to connect to a specific type of database. Different types of JDBC drivers are available, including JDBC-ODBC bridge, native API, network protocol, and database-specific drivers."
JDBC,Easy,What are the different types of statements available in JDBC?,- Statement: Used to execute static SQL statements<br>- PreparedStatement: Used to execute precompiled SQL statements with parameters<br>- CallableStatement: Used to execute database stored procedures
JDBC,Easy,"What is the difference between execute(), executeQuery(), and executeUpdate() methods in JDBC?","- execute(): Used to execute any SQL statement<br>- executeQuery(): Used to execute SELECT statements and retrieve a ResultSet<br>- executeUpdate(): Used to execute INSERT, UPDATE, DELETE statements and returns the number of affected rows"
JDBC,Easy,What is the use of the ResultSetMetaData interface in JDBC?,ResultSetMetaData provides methods to retrieve metadata information about the structure and properties of the columns in a ResultSet.
JDBC,Easy,What is the use of the DatabaseMetaData interface in JDBC?,"DatabaseMetaData provides methods to retrieve metadata information about the database, such as the supported features, table names, column names, etc."
JDBC,Easy,What is the use of the SQLException class in JDBC?,"SQLException is the base class for all JDBC-related exceptions. It provides information about the cause of an error, such as the SQL statement, error code, and error message."
JDBC,Easy,What is the purpose of the ResultSetConcurrency and ResultSetType interfaces in JDBC?,ResultSetConcurrency and ResultSetType interfaces are used to specify the concurrency and scrollability of a ResultSet. They determine how the ResultSet can be used and navigated.
JDBC,Easy,What is the use of the savepoint and rollback features in JDBC?,"Savepoints allow you to mark a specific point within a transaction, and rollback allows you to undo the changes made after a specific savepoint or the entire transaction."
JDBC,Easy,What is the purpose of the ResultSetHoldability interface in JDBC?,"ResultSetHoldability interface is used to specify the holdability of a ResultSet, which determines whether the ResultSet remains open when a commit is issued."
JDBC,Easy,What is the use of the setAutoCommit() method in JDBC?,"setAutoCommit() method is used to enable or disable the auto-commit mode in a Connection. When auto-commit is enabled, each SQL statement is treated as a separate transaction and automatically committed."
JDBC,Easy,What is the use of the Connection.isValid() method in JDBC?,Connection.isValid() method is used to check if a database connection is still valid and open.
JDBC,Easy,What is the difference between Statement and PreparedStatement in terms of SQL injection attacks?,"PreparedStatement provides a way to execute parameterized SQL statements, which helps prevent SQL injection attacks by automatically handling the escaping and quoting of parameters."
JDBC,Easy,What is the use of the StatementBuilder interface in JDBC?,StatementBuilder interface is not a standard JDBC interface. It may refer to a custom interface or a specific implementation used by a library or framework to build SQL statements dynamically.
JDBC,Easy,What is the use of the setQueryTimeout() method in JDBC?,"setQueryTimeout() method is used to set the maximum time in seconds for a query to execute. If the query execution exceeds the specified timeout, a SQLException is thrown."
JDBC,Easy,What is the use of the BatchUpdateException class in JDBC?,BatchUpdateException is an exception class that is thrown when an error occurs during the execution of a batch of SQL statements. It provides detailed information about the failed statements.
JDBC,Medium,What are the different types of JDBC drivers available in Java?,Type 1: JDBC-ODBC Bridge Driver<br>Type 2: Native-API/Partly Java Driver<br>Type 3: Network Protocol/All Java Driver<br>Type 4: Native-Protocol/All Java Driver<br>Type 5: Native-Protocol/All Java Driver (JDBC 4.3 specification)
JDBC,Medium,What is the difference between JDBC and ODBC?,"JDBC is an API for connecting Java applications to databases, while ODBC is an API for connecting applications to databases, typically used in the Windows environment.<br>JDBC is written in Java, while ODBC is written in C/C++."
JDBC,Medium,What is the purpose of the DriverManager class in JDBC?,"The DriverManager class is responsible for managing the JDBC drivers, providing methods for registering drivers, establishing database connections, and selecting the appropriate driver based on the connection URL."
JDBC,Medium,What is the purpose of the Connection interface in JDBC?,"The Connection interface represents a connection to a database, providing methods for creating statements, committing or rolling back transactions, and managing the connection properties."
JDBC,Medium,What is the difference between Statement and PreparedStatement in JDBC?,"Statement is used to execute static SQL statements, while PreparedStatement is used to execute precompiled SQL statements with parameters, allowing for efficient execution and reuse of similar SQL statements with different parameter values."
