Topic,Difficulty,Question,Answer
Exception Handling,Easy,What is an exception in Java?,An exception is an error event that occurs during the execution of a program and disrupts its normal flow.
Exception Handling,Easy,What is the purpose of exception handling in Java?,The purpose of exception handling in Java is to prevent abrupt termination of the program by catching and handling the exceptions at runtime.
Exception Handling,Easy,What is a try-catch block in Java?,A try-catch block in Java is a code block used to enclose the code that might throw an exception and to catch and handle the thrown exception.
Exception Handling,Easy,What is a finally block in Java?,A finally block in Java is a code block that is executed regardless of whether an exception is thrown or not. It is used to perform cleanup actions such as closing files or releasing resources.
Exception Handling,Easy,What is the difference between a checked and unchecked exception in Java?,"Checked exceptions are checked at compile time and must be handled using try-catch or throws, whereas unchecked exceptions are not checked at compile time and do not require any handling."
Exception Handling,Easy,What is a runtime exception in Java?,A runtime exception in Java is an unchecked exception that occurs during the execution of a program and does not need to be explicitly handled.
Exception Handling,Easy,What is the difference between an exception and an error in Java?,"Exceptions are events that occur during the execution of a program and can be handled, whereas errors are severe problems that occur at runtime and cannot be handled."
Exception Handling,Easy,What is an arithmetic exception in Java?,"An arithmetic exception in Java is an exception that occurs when an arithmetic operation produces an error, such as division by zero."
Exception Handling,Easy,What is an index out of bounds exception in Java?,An index out of bounds exception in Java is an exception that occurs when an attempt is made to access an array or collection with an index that is outside of its bounds.
Exception Handling,Easy,What is an array index out of bounds exception in Java?,An array index out of bounds exception in Java is a specific type of index out of bounds exception that occurs when an attempt is made to access an array with an index that is outside of its bounds.
Exception Handling,Easy,What is a number format exception in Java?,A number format exception in Java is an exception that occurs when a string cannot be parsed into a number.
Exception Handling,Easy,What is a string index out of bounds exception in Java?,A string index out of bounds exception in Java is an exception that occurs when an attempt is made to access a string with an index that is outside of its bounds.
Exception Handling,Easy,What is an illegal argument exception in Java?,An illegal argument exception in Java is an exception that occurs when an invalid argument is passed to a method.
Exception Handling,Easy,What is a class not found exception in Java?,A class not found exception in Java is an exception that occurs when the JVM cannot find a class at runtime.
Exception Handling,Easy,What is an illegal state exception in Java?,"An illegal state exception in Java is an exception that occurs when a method is called at an inappropriate time, such as when an object is in an incorrect state."
Exception Handling,Easy,What is a security exception in Java?,"An exception that is thrown when a security violation occurs, such as when a requested access to a resource is denied."
Exception Handling,Easy,What is a concurrent modification exception in Java?,An exception that is thrown when an object is structurally modified while being iterated over.
