Topic,Difficulty,Question,Answer
OOP,Easy,What is an object in Java?,An object is an instance of a class that encapsulates data and methods.
OOP,Easy,What is a class in Java?,A class is a blueprint or template that describes the attributes and behavior of an object.
OOP,Easy,What is encapsulation in Java?,Encapsulation is the process of hiding the implementation details of a class from the outside world and providing access to the class through a public interface.
OOP,Easy,What is inheritance in Java?,"Inheritance is a mechanism in which a new class is derived from an existing class, inheriting the attributes and behavior of the existing class, and adding new features to it."
OOP,Easy,What is a constructor in Java?,A constructor is a special method that is called when an object of a class is created. It is used to initialize the object’s state.
OOP,Easy,What is a method in Java?,A method is a collection of statements that performs a specific task.
OOP,Easy,What is a field in Java?,A field is a variable that holds the state of an object.
OOP,Easy,What is a reference variable in Java?,A reference variable is a variable that holds the memory address of an object.
OOP,Easy,What is the difference between an object and a class in Java?,"An object is an instance of a class, while a class is a blueprint for creating objects."
OOP,Easy,What is a default constructor in Java?,A default constructor is a constructor that is provided by Java if no constructor is explicitly defined in a class. It initializes the object with default values.
OOP,Easy,What is a default package in Java?,A default package is a package that has no name. Classes in the default package are visible only within the same package.
OOP,Easy,What is a member variable in Java?,A member variable is a variable that is declared inside a class but outside any method. It holds the state of an object and is accessible to all methods of the class.
OOP,Easy,What is a non-static method in Java?,A non-static method is a method that is called on an instance of a class. It can access instance variables and instance methods of the class.
OOP,Easy,What is a non-static field in Java?,A non-static field is a field that belongs to an instance of a class. Each instance of the class has its own copy of the field.
OOP,Easy,What is a public method in Java?,A public method is a method that can be accessed from anywhere in the program.
OOP,Easy,What is a private method in Java?,A private method is a method that can only be accessed from within the same class.
OOP,Easy,What is a protected method in Java?,A protected method is a method that can only be accessed from within the same class or its subclasses.
OOP,Easy,What is a public field in Java?,A public field is a field that can be accessed from anywhere in the program.
OOP,Easy,What is a static initializer in Java?,A static initializer is a block of code that is executed when a class is loaded into memory. It is used to initialize static variables of the class.
OOP,Easy,What is a synchronized block in Java?,A synchronized block is a block of code that is executed by only one thread at a time. It is used to prevent multiple threads from accessing the same block of code simultaneously.
OOP,Easy,What is a transient keyword in Java?,The transient keyword is used in Java to indicate that a variable should not be serialized when the object is written to a file or sent over a network. It is typically used for variables that are derived from other variables and can be easily reconstructed when the object is deserialized.
OOP,Easy,What is cloning in Java?,Cloning is the process of creating an exact copy of an object in Java. It is done by implementing the Cloneable interface and overriding the clone() method in the class.
OOP,Easy,What is a shallow copy in Java?,"A shallow copy in Java creates a new object that is a copy of the original object, but with the same references to the objects contained in the original. If any of the objects contained in the original object are modified, the corresponding objects in the copy will also be modified."
OOP,Easy,What is a deep copy in Java?,"A deep copy in Java creates a new object that is a copy of the original object, but with new references to the objects contained in the original. If any of the objects contained in the original object are modified, the corresponding objects in the copy will not be modified."
OOP,Easy,What is object comparison in Java?,"Object comparison in Java is the process of comparing two objects to see if they are equal. The equals() method is used to compare two objects for equality, while the == operator is used to compare two objects for identity."
OOP,Easy,What is the ‘this’ keyword in Java?,The ‘this’ keyword in Java is a reference to the current object. It is typically used to refer to instance variables or methods of the current object within the class.
OOP,Easy,What is a method signature in Java?,"A method signature in Java consists of the method name and the parameter types, but not the return type. It is used to uniquely identify a method within a class."
OOP,Easy,What is an anonymous class in Java?,An anonymous class in Java is a class that is defined without a name. It is typically used to define a class that is only used once and has no other purpose.
OOP,Easy,What is an instance in Java?,An instance in Java is a single occurrence of a class. It is created by calling the class constructor and is a separate and distinct entity from other instances of the same class.
